hiring_manager: alexthornton; similarity_score: 12.0336
hiring_manager: EmilLondon; similarity_score: 11.9136
hiring_manager: atto; similarity_score: 11.8508
hiring_manager: ddtruong17; similarity_score: 11.8322
hiring_manager: BWStearns; similarity_score: 11.8319
hiring_manager: conorgil145; similarity_score: 11.7549
hiring_manager: sidjoshi; similarity_score: 11.7453
hiring_manager: georgespencer; similarity_score: 11.6747
hiring_manager: roybarberuk; similarity_score: 11.5569
hiring_manager: kscottz; similarity_score: 11.4064
hiring_manager: sridevizarin; similarity_score: 11.3161
hiring_manager: jpwagner; similarity_score: 11.2661
hiring_manager: florianf; similarity_score: 11.1936
hiring_manager: samuelbrin; similarity_score: 11.1111
hiring_manager: spang; similarity_score: 11.0928
hiring_manager: edent; similarity_score: 10.8016
hiring_manager: ljlolel; similarity_score: 10.7177
hiring_manager: blo; similarity_score: 10.7157
hiring_manager: vaxtrac; similarity_score: 10.6183
hiring_manager: manpageman; similarity_score: 10.5621
hiring_manager: waseems; similarity_score: 10.5421
hiring_manager: kbar13; similarity_score: 10.5069
hiring_manager: rememberlenny; similarity_score: 10.4148
hiring_manager: andrewmb; similarity_score: 10.2998
hiring_manager: noahbrier; similarity_score: 10.2481
hiring_manager: courtneypowell; similarity_score: 10.2100
hiring_manager: fuckthepoor; similarity_score: 10.1825
hiring_manager: makmanalp; similarity_score: 10.1682
hiring_manager: shedd; similarity_score: 10.1512
hiring_manager: joshcanhelp; similarity_score: 9.92366
hiring_manager: cairo140; similarity_score: 9.74025
hiring_manager: hrehhf; similarity_score: 9.68054
hiring_manager: diego; similarity_score: 9.67370
hiring_manager: HeyLaughingBoy; similarity_score: 9.56937
hiring_manager: petrosagg; similarity_score: 9.42507
hiring_manager: santiycr; similarity_score: 9.41901
hiring_manager: brendankemp; similarity_score: 9.33824
hiring_manager: ugh123; similarity_score: 9.06801
hiring_manager: unclesaamm; similarity_score: 9.05587
hiring_manager: helloshow; similarity_score: 9.04720
hiring_manager: jdjdjd; similarity_score: 8.93300
hiring_manager: siscia; similarity_score: 8.84615
hiring_manager: khwang; similarity_score: 8.81488
hiring_manager: jontonsoup; similarity_score: 8.74811
hiring_manager: timanglade; similarity_score: 8.70353
hiring_manager: chrisbennet; similarity_score: 8.51851
hiring_manager: nathanwdavis; similarity_score: 8.44793
hiring_manager: miles932; similarity_score: 8.37988
hiring_manager: axiom; similarity_score: 8.37808
hiring_manager: fractalsea; similarity_score: 8.28402
hiring_manager: curiousDog; similarity_score: 8.27586
hiring_manager: austinhallock; similarity_score: 8.24270
hiring_manager: tianyicui; similarity_score: 8.19793
hiring_manager: pensieri; similarity_score: 7.84780
hiring_manager: fourier; similarity_score: 7.84313
hiring_manager: ncbk12; similarity_score: 7.53504
hiring_manager: plaban123; similarity_score: 7.42913
hiring_manager: grinich; similarity_score: 7.37864
hiring_manager: quinthar; similarity_score: 7.09359
hiring_manager: tobinharris; similarity_score: 6.96798
hiring_manager: OpenDrapery; similarity_score: 6.93756
hiring_manager: Caleb_Smith; similarity_score: 6.52173
hiring_manager: st8machine; similarity_score: 6.27973
hiring_manager: papaonlegs; similarity_score: 6.21865
hiring_manager: smikhanov; similarity_score: 6.00193
hiring_manager: Blackthorn; similarity_score: 5.55023
hiring_manager: ogennadi; similarity_score: 5.38922
hiring_manager: jerematasno; similarity_score: 5.31309
hiring_manager: BillFranklin; similarity_score: 5.26315
hiring_manager: iandanforth; similarity_score: 5.2
hiring_manager: fapjacks; similarity_score: 5.15361
hiring_manager: sid6376; similarity_score: 5.13833
hiring_manager: frabrunelle; similarity_score: 4.51577
hiring_manager: neftaly; similarity_score: 4.41767
hiring_manager: bostonpete; similarity_score: 4.24671
hiring_manager: metaobject; similarity_score: 4.20841
hiring_manager: xasos; similarity_score: 4.03632
hiring_manager: zacharycohn; similarity_score: 2.86885
hiring_manager: siddarthd2919; similarity_score: 2.60260
hiring_manager: deepsearch; similarity_score: 2.05761
hiring_manager: bohnej; similarity_score: 1.64102
hiring_manager: namelezz; similarity_score: 0.0
